code,product_name,brands,categories,additives_tags,allergens_tags,ingredients_text,nutrition_grades,image_url,energy_100g,proteins_100g,carbohydrates_100g,sugars_100g,fat_100g,saturated-fat_100g,salt_100g,fiber_100g,additives_count,allergens_count,nutrient_score
3017620425035,Nutella,Ferrero,Petit-déjeuners,"['en:e322', 'en:e322i']","['en:milk', 'en:nuts', 'en:soybeans']","Sucre, huile de palme, NOISETTES 13%, LAIT écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants: lécithines [SOJA]; vanilline. Sans gluten",e,https://images.openfoodfacts.org/images/products/301/762/042/5035/front_en.583.400.jpg,2252.0,6.3,57.5,56.3,30.9,10.6,0.107,,2.0,3.0,2.0
3017620422003,Nutella,Ferrero,Chocolate and hazelnuts spreads,"['en:e322', 'en:e322i']","['en:milk', 'en:nuts', 'en:soybeans']","Sucre, huile de palme, NOISETTES 13%, cacao maigre 7,4%, LAIT écrémé en poudre 6,6%, LACTOSERUM en poudre, émulsifiants: lécithines [SOJA), vanilline. Sans gluten.",e,https://images.openfoodfacts.org/images/products/301/762/042/2003/front_en.633.400.jpg,2252.0,6.3,57.5,56.3,30.9,10.6,0.107,,2.0,3.0,2.0
90162602,Redbull,Red Bull,Boissons,"['en:e330', 'en:e500', 'en:e500ii']",[],"Carbonated Water, Sugar, Glucose, Citric Acid, Taurine, Natural flavors, Artificial Flavors, Sodium Bicarbonate, Magnesium Carbonate, Artificial Colors, Caffeine, Niacinamide, Pyridoxine Hci, Calcium Pantothenate, Vitamin B12.",e,https://images.openfoodfacts.org/images/products/000/009/016/2602/front_en.103.400.jpg,192.0,0.0,11.0,11.0,0.0,,0.1975,,3.0,0.0,4.0
8902080000227,Sting,Sting,Beverages,"['en:e129', 'en:e202', 'en:e211', 'en:e330', 'en:e331', 'en:e385', 'en:e452', 'en:e950', 'en:e955']",[],"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331), SEQUESTERANTS (452(1), 385),TAURINE, CAFFEINE (0.03%), PRESERVATIVES (211, 202), SWEETENERS (955, 950), INOSITOL, VITAMINS PREMIX. CONTAINS PERMITTED SYNTHETIC FOOD COLOUR (129) AND ADDED FLAVOUR (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES)",e,https://images.openfoodfacts.org/images/products/890/208/000/0227/front_en.36.400.jpg,117.0,0.0,7.0,6.8,0.0,0.0,0.1025,,9.0,0.0,4.0
5999884034469,Energizant HELL,Hell,Boissons et préparations de boissons,"['en:e290', 'en:e330']",[],"Apă,  zahăr, acid alimentar (acid citric); dioxid de carbon (min 0,3% taurina (0,38%); substanță de reglare a acidității (citrat de Valoare nutritională generala sodiu); cafeina (0,03%); aromă: coloranți (caramel Energie: . 134153/289 amoniu); vitamine (niacina (83), acid bantotenic (B5), Grăsime:... - piridoxină (B6), riboflavins (R2 m CONTINUT RIDICAT DE CArCIn balamina (812)]. din care acizi graşi săturati",e,https://images.openfoodfacts.org/images/products/599/988/403/4469/front_en.61.400.jpg,192.0,0.0,11.0,11.0,0.0,0.0,0.5,,2.0,0.0,3.0
54491496,diet coke 500ml,Coca-Cola,Beverages,"['en:e150c', 'en:e150d', 'en:e212', 'en:e330', 'en:e338', 'en:e950', 'en:e951']",[],"csd water, caramel color, aspartame, phosphoric acid, potassium benzoate (to protect taste), natural flavors, citric acid, caffeine, contains phenylalaline 
water gazeifiée, caramel colour e150d, sweeteners : aspartame, acesulfame k, flavourings, natural caffeine, phosphoric acid, citric acid",c,https://images.openfoodfacts.org/images/products/000/005/449/1496/front_en.73.400.jpg,1.6,0.0,0.0,,0.0,,0.0,,7.0,0.0,5.0
8901058000290,maggi,Nestle,Plant-based foods and beverages,"['en:e150d', 'en:e330', 'en:e412', 'en:e451', 'en:e500', 'en:e501', 'en:e508', 'en:e635']",['en:gluten'],"NOODLES: Refined wheat flour (Maida), Palm oil, lodized salt, Wheat gluten, Thickeners (508 & 412). Acidity regulators (501(i) & 500(i)) and Humectant (451(i)). MASALA TASTEMAKER®: Mixed spices (25.6%) (Onion powder, Coriander powder, Turmeric powder, Red chilli powder, Garlic powder, Cumin powder, Aniseed powder, Ginger powder, Fenugreek powder, Black pepper powder, Clove powder, Green cardamom powder & Nutmeg powder), Refined wheat flour (Maida), Hydrolysed groundnut protein, Sugar, Palm oil, Starch, lodized salt, Thickener (508), Flavour enhancer (635), Toasted onion flakes, Acidity regulator (330). Colour (150d), Mineral and Wheat gluten. Allergen Note: Contains Wheat & Nut. May contain Milk, Mustard, Oats And Soy.",e,https://images.openfoodfacts.org/images/products/890/105/800/0290/front_en.26.400.jpg,1610.0,8.14,59.6,1.86,12.6,8.14,2.57,,8.0,1.0,3.0
0074305001161,Organic Apple Cider Vinegar,Bragg,Condiments,[],[],"certified organic, raw apple cider vinegar and purified water, diluted to 5% acidity,",not-applicable,https://images.openfoodfacts.org/images/products/007/430/500/1161/front_en.23.400.jpg,0.0,0.0,0.0,,0.0,,,,0.0,0.0,5.0
8850389100684,,Sappe Public Company Limited,Boissons et préparations de boissons,"['en:e129', 'en:e211', 'en:e327', 'en:e330', 'en:e418']",[],"water, lychee juice from concentrate 25%, coconut 25%, fructose, sucrose, acidifiers (citric acid, calcium lactate), lychee flavor, preservative e211, gelling agent: gellan gum, color: e129 - 0.0001% (this dye may have adverse effects on activity and attention in children),",e,https://images.openfoodfacts.org/images/products/885/038/910/0684/front_en.79.400.jpg,225.0,0.0,13.0,12.0,0.0,0.0,0.05,0.5,5.0,0.0,4.0
8901088000451,Parachnute 100% Pure Coconut Oil,,Aliments et boissons à base de végétaux,,[],,e,https://images.openfoodfacts.org/images/products/890/108/800/0451/front_en.16.400.jpg,3766.0,1.0,1.0,1.0,100.0,91.0,0.0,,,0.0,4.0
